,gra_tydz_weekend,gra_klan,negatyw_gra_nad_inne_aktywnosci,negatyw_zaniedbania,negatyw_gniew,tow_przytloczenie,WynikLudzki
0,30,0,5,3,2,1,0
1,50,0,3,3,2,2,0
2,15,1,4,4,5,1,1
3,30,0,2,3,5,1,0
4,100,0,2,3,2,2,0
5,100,0,1,2,1,1,0
6,100,0,1,1,2,1,0
7,26,0,3,3,3,2,0
8,43,0,2,3,3,2,0
10,30,1,3,3,2,2,0
11,30,1,3,3,2,2,0
12,48,0,4,3,2,2,0
13,40,0,2,2,4,1,0
14,25,0,2,1,2,1,0
15,22,0,5,4,3,3,1
16,30,0,3,3,2,2,0
17,20,0,2,1,3,3,0
18,26,1,3,3,4,2,0
19,38,0,3,4,2,2,0
20,15,0,1,1,4,1,1
21,69,1,5,5,5,1,1
22,25,1,4,3,5,1,1
23,77,0,4,3,3,5,0
24,20,1,3,3,2,2,0
25,81,0,3,2,2,2,0
26,70,1,3,2,3,1,1
27,20,0,4,2,3,2,0
28,49,0,3,2,2,3,0
29,100,1,4,5,5,3,0
30,40,0,2,3,3,2,0
31,60,1,4,4,3,1,1
32,49,0,2,3,2,1,0
33,18,0,1,2,3,3,0
34,50,1,3,4,3,1,1
35,21,1,1,2,2,1,0
36,35,1,1,1,2,1,1
37,17,1,2,3,4,3,0
38,50,1,2,3,2,1,0
39,28,1,4,5,4,1,1
40,50,0,2,2,3,1,0
41,63,0,1,2,3,1,0
42,29,0,2,3,2,2,0
