id,rok,zwiazek,praca,gra_w_ciagu_12
1,3,tak,nie,tak
2,3,nie,nie,tak
3,3,nie,nie,tak
4,2,nie,nie,tak
5,3,nie,tak,tak
6,3,tak,tak,tak
7,2,tak,nie,tak
8,2,nie,nie,tak
9,2,tak,nie,tak
10,2,-,nie,tak
11,2,nie,nie,tak
12,2,nie,nie,tak
13,2,nie,nie,tak
14,3,nie,tak,nie
15,2,nie,nie,tak
16,2,nie,tak,tak
17,2,nie,nie,tak
18,2,nie,nie,tak
19,2,nie,nie,tak
20,2,tak,nie,tak
21,2,tak,nie,tak
22,2,tak,nie,tak
23,2,nie,nie,tak
24,2,-,nie,tak
25,2,nie,nie,tak
26,2,nie,nie,nie
27,1,nie,nie,tak
28,4,tak,tak,tak
29,3,tak,nie,tak
30,3,-,nie,tak
31,2,nie,nie,tak
32,2,nie,nie,tak
33,3,-,tak,tak
34,3,nie,nie,tak
35,3,nie,nie,tak
36,3,tak,tak,tak
37,3,nie,nie,nie
38,3,tak,tak,tak
39,1,tak,tak,tak
40,3,tak,nie,tak
41,1,nie,nie,tak
42,3,tak,nie,tak
43,3,nie,nie,nie
44,3,tak,tak,tak
45,1,-,tak,tak
46,3,tak,tak,tak
47,3,nie,nie,tak
48,3,nie,nie,tak
49,3,nie,nie,nie
